,atel_num,Sentence,label
12,11502,"After barycenter-correcting the event times, we computed a power spectrum and detected a >5-sigma pulsation at 182.067 Hz, confirming that the active source is indeed Swift J1756.9-2508 (see Krimm et al.2007, ApJ 668, L147, and the erratum in Krimm et al.2009, ApJ 703, L183).",1.0
13,11503,"Transient, Variables MASTER OT J181909.82+253407.7 discovery - dwarf nova outburst, ampl>6m MASTER-Kislovodsk auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 18h 19m 09.82s +25d 34m 07.7s on 2018-04-04.88163 UT during inspection.",1.0
14,11505,"The Swift/BAT transient monitor confirms the current outburst from the accreting millisecond pulsar, Swift J1756.9-2508 (Mereminskiy et al., ATel #11497; Bult et al., ATel #11502).",1.0
15,11505,Swift/BAT Transient Monitor observations of Swift J1756.9-2508:,1.0
16,11507,"Following a 2018 March 19 MAXI alert of a new outburst of the neutron star low-mass X-ray binary IGR J17379-3747 (ATel #11447), NICER has observed the source daily since 2018 March 29.",1.0
17,11507,Our pulsation detection conclusively identifies IGR J17379-3747 as an accreting millisecond X-ray pulsar.,1.0
18,11509,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 April 5 UT, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
19,11510,"We report the V-band photometric observation of MAXI J1820+070 (also named ASASSN-18ey, see ATELs #11399, #11400, #11403, #11404, #11406, #11418, #11420, #11421, #11423, #11424, #11425, #11426, #11432, #11437, #11439, #11440, #11445, #11451, #11478, #11481) with the Lijiang 2.4m telescope (+YFOSC) at Lijiang Gaomeigu Station of Yunnan observatories, in comparison with the Swift/XRT observation of MAXI J1820+070 on the same day.",1.0
20,11510,We would like to thank the Swift team and other colleagues for providing continuous Swift monitoring observations of MAXI J1820+070 to the public.,1.0
21,11513,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 April 6 UT, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
22,11516,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 April 7 UT, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
23,11171,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 Jan 14, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
24,11173,The X-ray transient MAXI J1630-276 was discovered on 2017 November 17 (MJD 57074) at relatively high galactic latitude (b ~ 14.1 deg) with MAXI/GSC (Negoro et al.ATel #10984).,1.0
25,11173,MAXI data for MAXI J1630-276:,2.0
26,11177,"The observations were performed on the ESO New Technology Telescope at La Silla on 2018 Jan 16.1 UT, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
27,11180,"We report optical spectroscopic observations of the ASAS-SN transients ASASSN-18am/AT2018gk, ASASN-18ao/AT2018gm, and ASASSN-18ap/AT2018gn (ATel #11178), obtained on UT 2018 Jan 14-16 with FAST (range 3600-7450 Angstroms) mounted on the F. L. Whipple Observatory 1.5-m telescope.",0.0
28,11182,"The source, XMMSL2 J053629.4-675940, had a soft X-ray (0.2-2 keV) count rate in the EPIC-pn detector, medium filter of 1.82+/-0.56 c/s, equivalent to a flux Fx=2.3+/-0.7E-12 ergs/s/cm2 for a nominal spectrum of a power-law of slope 2 absorbed by a column NH=3E20 cm^-2.",1.0
29,11182,"The slew position is RA: 05h36m29.4s, DEC: -67d59m40s with a 1-sigma error circle of 8 arcseconds, lying at 7 arcseconds from the XMM-Newton serendipitous catalogue source, 3XMM J053630.3-675935, which with a flux Fx~1.1E-14 ergs/s/cm2 (2012-03-24), is a factor ~200 fainter than the slew measurement.",1.0
30,11182,"Assuming that 3XMM J053630.3-675935 is the counterpart then the best available position is RA: 05h36m30.35s, DEC: -67d59m35.9s with an error of ~2 arcseconds.",1.0
31,11183,"Nova Muscae 2018 (PNV J11261220-6531086), discovered o 2018 Jan. 14.5 (V=7.0) was observed spectroscopically on 2018 Jan. 16.46 (MJD 58134.982), with a LHIRES spectrograph mounted on a C11 reflector (35micron slit, 2400 lines/mm, R > 11000) with a total exposure time of 1200 sec in the interval 6520-6690A.",0.0
32,11187,"We report on optical and near-IR spectroscopy of QSO TXS0917+624 (radio and gamma source) which showed a major 2 magnitude flare on 9th of December 2017 (Spiridonova, Moskvitin and Vlasyuk 2017, ATEL #11048).",1.0
33,11189,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed an intense gamma-ray flare from a source positionally consistent with the flat spectrum radio quasar 3C 279, also known as 3FGL J1256.1-0547 (Acero et al.2015, ApJS, 218, 23), with radio coordinates R.A.: 12h56m11.1665s, Dec: -05d47m21.523s (J2000.0; Johnston et al.1995, AJ, 110, 880).",1.0
34,11190,"According to our photometry, 3C 279 shows a brightening of about 1 mag in NIR and 0.6-0.8 mag in optical with respect to the mean values observed by REM during 2005-2012 (see Sandrinelli, et al.2016, ApJ, 151, 54), in agreement with the increase of gamma-ray activity observed by Fermi-LAT.",0.0
35,11191,"The source ASASSN-V J054601.74-665924.2 (position from Gaia, g~13.3) was first observed by ASAS-SN on UT 2014-04-29.",1.0
36,11191,"To date, ASASSN-V J054601.74-665924.2 has more than ~1300 V-band data points and ~180 g-band data points.",1.0
37,11191,"The <a href= > ASAS-SN light curve </a> for ASASSN-V J054601.74-665924.2 clearly shows that this is a detached eclipsing binary with a period P_ecl=313.4364 days (g-band: red points, V-band: blue points).",1.0
38,11192,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 Jan 16, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
39,11192,Date | Source | Disc Mag | z | Type | Phase | Notes ATLAS17nzb | AT2017jis | 00 41 07.10 | -09 26 52.6 | 20171209 | ATLAS | 18.9 | 0.047 | galaxy | | (1) ATLAS17nqh | SN2017ixl | 00 57 24.55 | -00 46 03.9 | 20171209 | ATLAS | 18.9 | 0.05 | Ia | >+20 | (2) ATLAS18eaa | SN2018dv | 02 32 01.03 | +08 35 16.1 | 20180105 | ATLAS | 18.7 | 0.031 | Ia | at max | OGLE18be | SN2018be | 01 08 49.00 | -76 42 47.5 | 20180106 | OGLE | 19.4 | | I | | (3) ASASSN-18ae | SN2018br | 03 07 52.65 | -45 44 25.1 | 20180106 | ASAS-SN | 18.1 | 0.063 | Ia | at max | (1) The spectrum strongly resembles the SDDS DR14 spectrum of the host galaxy SDSS J004107.10-092653.3.<br /> (2) Redshift from SNID.<br /> (3) The spectrum is in fair agreement with strongly reddened Type I SNe (B-V colour excess of 0.5 to 1.0 mag).,2.0
40,11193,"We note that the bright, long period detached eclipsing binary ASASSN-V J054601.74-665924.2 reported in ATel #11191 is a known variable star OGLE-LMC-ECL-37824, first reported in Pawlak et al.(2016), Acta Astron., 66, 421.",1.0
41,11197,The transient is positionally consistent within the uncertainty with the known X-ray source XMMSL2 J053629.4-675940.,1.0
42,11197,The search was done within the error circle of the XMMSL2 J053629.4-675940 position.,1.0
43,11197,]..Survey/(Source ID)........   et al.2004   et al.2004   et al.2004 G..........18.017..................0.00037......GAIA (5237407060614222336) R..........17.35.......0.46.......0.00036.....GSC2.2 (S0132003167858)   et al.2004 J...........13.452.....0.029.....0.00023......2MASS (05363020-6759371) H..........12.878.....0.028.....0.00023......2MASS (05363020-6759371) Ks.........12.59.......0.032.....0.00023......2MASS (05363020-6759371) W1........12.42.......0.024.....0.00021......WISE (J053630.22-675936.6) [3.6].....12.309......0.044.....0.0002.......SAGE (J053630.22-675936.9) [4.5].....12.186......0.024.....0.0002.......SAGE (J053630.22-675936.9) W2........12.261......0.023.....0.00021.....WISE (J053630.22-675936.6) [5.8].....12.121......0.042.....0.0002.......SAGE (J053630.22-675936.9) [8.0].....12.115......0.031.....0.0002.......SAGE (J053630.22-675936.9) W3........13.526....................0.00021.....WISE (J053630.22-675936.6) W4........10.09......................0.00021.....WISE (J053630.22-675936.6) Notably the I band magnitude and V-I color reported by the Magellanic Cloud Photometric Survey (MCPS) are consistent within the errorbars with the OGLE values in #ATel11185.,2.0
44,11198,"At 19:20UT on 2018 January 16, Swift/XRT performed a 7-point tiling observation (500s per tile) of the error regions of MAXI J1630-276 as provided by Negoro et al.(ATEL #11173).",1.0
45,11198,"MAXI J1630-276 is a soft X-ray transient first detected on 2017 November 17 by MAXI (Negoro et al., ATEL #10984).",1.0
46,11198,"ROSAT source 1RXS J163200.2-273335, is inside the observed region covered by the XRT pointings, but is not detected.",1.0
47,11198,1RXS J163035.5-275500 is outside of the field of view.,1.0
48,11198,We therefore conclude that MAXI J1630-276 has likely turned off.,1.0
49,11198,"Based on the low background level, and non-detection of any sources, we place a 90% confidence upper limit on the brightness of MAXI J1630-276 of ~10<sup>-2</sup> XRT count/s, assuming the spectral parameters given in ATEL #11173, this equates to a flux of 8 x 10<sup>-13</sup> erg/s/cm<sup>2</sup> (0.5 - 10 keV).",1.0
50,11204,We used the Blue Channel Spectrograph mounted on the 6.5m MMT Telescope (3400-8400 angstroms) and FAST on the 1.5m Tillinghast Telescope (3500-7300 angstroms).,0.0
51,11206,The Nordic Optical Telescope (NOT) Unbiased Transient Survey (NUTS; ATel #8992) collaboration reports the spectroscopic classification of Gaia18adv (SN2018hh) near the host galaxy SDSS J121341.37+282640.0.,1.0
52,11209,"The spectrum shows broad (FWHM ~ 1700-2200 km/s) Balmer emission and many Fe II emission lines, indicating a classification as a classical nova of the Fe II class.",0.0
53,11215,"Transient We report on a NIR flare of the radio source NVSSJ020344+304238, cross identified with the high redshift quasar BZBJ0203+3042 (z=0.761) and tentatively with the Gamma-ray source 3FGLJ0203.6+3043.",1.0
54,11218,"See ATel #11176.<br /> (2) NED reports that the transient is 4.1"" from probable host SDSS J090614.96+172021.0 (EPICID=211801591).",1.0
55,11218,"See ATel #11109.<br /> (5) NED reports that the transient is 7.2"" from probable host 2MASX J09071754+2056466 (EPICID=212041154).<br /> (6) NED reports that the transient is 2.8"" from probable host SDSS J090157.95+134645.5 (EPICID=211545516).<br /> (7) NED reports that the transient is 6.0"" from probable host SDSS J090256.39+120307.6 (EPICID=211427218).<br /> (8) NED reports that the transient is 4.7"" from probable host 2MASX J09045630+1440134 (EPICID=211609673).",1.0
56,11218,"See ATel #11109.<br /> (9) NED reports that the transient is 2.3"" from probable host SDSS J084241.66+135806.3 (EPICID=211559048).",1.0
57,11221,"The observations were taken in the MR mode of HRS, covering a spectral range of 3800-8900 &#8491; at a resolution of R ~ 40000.",0.0
58,11222,AGILE is detecting a gamma-ray emission above 100 MeV from a source consistent with the Flat Spectrum Radio Quasar PKS B1424-418 (also known as 3FGL J1427.9-4206 and BZQ J1427-4206) at z=1.52.,1.0
59,11222,Multifrequency observations of PKS B1424-418 are strongly encouraged.,1.0
60,11223,"Observations by the VERITAS collaboration and with the Swift XRT show the TeV and X-ray emission of the gamma-ray binary HESS J0632+057 (RA 06h32m59.26s, Dec +05d48m01.2s, J2000.0) are comparable to the highest ever observed from this object.",1.0
61,11223,"HESS J0632+057 (VER J0633+057 in the VERITAS catalog) is associated with the B0pe star MWC 148 and the X-ray source XMMU J063259.3+054801, and has also been weakly detected at GeV energies.",1.0
62,11225,"Variable, Gamma-Ray Burst, Quasar, Supernovae, Transient, Variables MASTER OT J002844.97+233329.3 discovery - OT during GRB180113B (IPN) inspection During GRB180113B (IPN triangulation) inspection (<a href="" "">Svinkin et al.GCN #22354</a>, <a href="" "">IPN map</a> ) MASTER-Kislovodsk auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 00h 28m 44.97s +23d 33m 29.3s on 2018-01-14.64970 UT.",1.0
63,11225,"The discovery and reference images are available at:   MASTER OT J141021.86+391928.4 discovery - PSN during Fermi/Maxi long GRB180116A inspection During Fermi trigger <a href="" "">inspection</a> (Stanbro et al.GCN #22356, also publishied as MAXI/GSC GRB, see Kawai et al.GCN #22347) MASTER-Kislovodsk auto-detection system discovered optical transient - possible supernova - at (RA, Dec) = 03h 00m 57.16s -66d 25m 23.1s on 2018-01-11.89176 UT.",1.0
64,11225,"The discovery and reference images are available at:   MASTER OT J022821.64-554603.8 detection - PKS0226-559 flare MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 02h 28m 21.64s -55d 46m 03.8s on 2018-01-22.21072 UT.",1.0
65,11225,"The discovery and reference images are available at:   MASTER OT J105951.22+215309.0 detection - QSO flare (ampl>2.9mag) MASTER-Kislovodsk auto-detection system discovered OT source at (RA, Dec) = 10h 59m 51.22s +21d 53m 09.0s on 2018-01-14.97105 UT.",1.0
66,11226,MASTER OT J141021.86+391928.4 discovery The correct time of discovery is 2018-01-16.95759 UT; the correct coordinates are in the name of object 14h 10m 21.86s +39d 19m 28.4s.,1.0
67,11227,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed enhanced gamma-ray emission from a source positionally consistent with the flat-spectrum radio quasar PKS 0336-01 (CTA 26), also known as 3FGL J0339.5-0146 (Acero et al.2015, ApJS, 218, 23), with coordinates R.A. = 54.8789071 deg, Decl.= -1.7766119 deg (J2000; Johnston et al.1995 AJ, 110, 880), and a redshift of 0.850 (Wills & Lynds 1978 ApJS, 36, 317).",1.0
68,11233,"According to ATel#11223, the gamma-ray binary MWC 148 (HESS J0632+057) is in high X-ray and TeV state.",1.0
69,11235,The gamma-ray loud flat spectrum radio quasar PKS 1424-418 has been steadily increasing its luminosity since August 2017 and is now (2018-01-21) at its historic recorded maximum of J=13.73 +/- 0.05.,1.0
70,11235,We encourage multi-messenger observations and analyses of PKS 1424-418 during this active state.,1.0
71,11236,"We report the X-ray detection of the massive protostar IRAS 16562-3959 as well as one of its outer radio lobes (Guzman et al.2010, ApJ,725,734) using two observations obtained by the Chandra X-ray Observatory ACIS-I detector on 2015-06-30 (38.58ks exposure) and 2015-07-03 (40.07 ks exposure).",1.0
72,11236,IRAS 16562-3959 is a bright infrared source with a reported bolometric luminosity of 7*10^4 L_sun.,1.0
73,11241,We report an increase in the X-ray flux from the magnetar 1E 1048.1-5937 in our recent monitoring observation with the X-ray Telescope (XRT) on the Neil Gehrels Swift Observatory.,1.0
74,11241,"We measure an absorbed 0.5-10 keV flux of (22+/-2)x10^-12 erg/s/cm^2 on 15 January 2018 (MJD 58133), and confirmed the persistent nature of this increase measuring a flux of (20+/-1)x10^-12 erg/s/cm^2 on subsequent observations on 26-27 January 2018 (MJD 58144-58145) compared to an average flux of (9.2+/-0.5)x10^-12 erg/s/cm^2 in December 2017.",1.0
75,11244,"In 2009-2015 season, the MAXI/GSC observations revealed that the onset phase of the normal outbursts distributed in a narrow range (0.92-0.93) in orbital phase.",0.0
76,11247,"MASTER OT J142117.5-063736.1 discovery - bright PSN in PGC1030654 MASTER-IAC auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 14h 21m 17.5s -06d 37m 36.1s on 2018-01-26.1918UT .",1.0
77,11249,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed enhanced gamma-ray emission from a source positionally consistent with the flat-spectrum radio quasar OT 355, also known as B2 1732+38A and 3FGL J1734.3+3858 (Acero et al.2015, ApJS, 218, 23), with coordinates R.A. = 263.585744 deg, Decl.= 38.964290 deg (J2000; Lanyi et al.2010 AJ, 139, 1695), and a redshift of 0.975 (Shaw et al.2012 ApJ, 748, 49).",1.0
78,11250,"The X-ray source 1RXS J051439.2-021615 (RA 05h14m39.20s, Dec -02d16m15.00, J2000.0) showed an optical V-band flare, during the night of 25/26 January 2018 (JD=2458114).",1.0
79,11489,"We report recent optical and near-infrared polarimetric observations of TXS 0506+056 (ATEL #10773, #10791, #10773, and references therein).",1.0
80,11489,"We carried out polarimetric observations of TXS 0506+056 using the Hiroshima Optical and Near-InfraRed camera (HONIR; Akitaya et al.2014, Proc.",1.0
81,11490,INTEGRAL is performing public Target-of-Opportunity observations of the black-hole binary X-ray transient MAXI J1820+070 (ATel #11399).,1.0
82,11494,"The TeV-detected ultra-high-energy peaked BL Lacertae source (UHBL) 1ES 0033+595 was observed 87 times with X-Ray Telescope (XRT) onboard the Neil Geherels Swift Observatory since 2005 April 1 with a total exposure of 117 ks (Mostly, in the framework of our ToO requests).",1.0
83,11494,"During this monitoring, 1ES 0033+595 was one of the bright BL Lac sources in X-rays with the 0.3-10 keV count rate ranging between 1.39+/-0.04 cts/s and 9.24+/-0.13 cts/s, and exhibiting fast X-ray flares by a factor of 2.2--2.8 (see   /source.php?source=1ES0033+595; Kapanadze et al.2015, Atel#8107).",1.0
84,11494,"Furthermore, 1ES 0033+595 generally showed very hard X-ray spectra with the photon index at 1 keV a=0.93-1.45 and the position of the synchrotron SED peak sometimes moved beyond 10 keV (that occurs very rarely among BL Lacs; see Kapanadze et al.2016, 831, 102; 2017, ApJ, 848; 103; MNRAS, 469, 1655; MNRAS, 473, 2542).",1.0
85,11494,"In the framework of one-zone SSC models, enhanced activity of 1ES 0033+595 is also expected in the UV-radio and gamma-ray parts of the spectrum, and intensive multiwavelength observations of this source are strongly encouraged.",1.0
86,11580,This position coincides with the z=1.41 blazar PKS 2333-415.,1.0
87,11580,"In the 0.1-300 GeV gamma-ray band, the blazar is associated to the Fermi-LAT catalog source 3FGL J2336.5-4116 (Acero et al.2015, ApJS, 218, 23).",1.0
88,11581,"The accreting millisecond X-ray pulsar Swift J1756.9-2508 has been in outburst since 2018 April 1 (ATel #11497, #11502, #11505, #11523, #11566) and has been subject to regular monitoring with NICER (ATel #11502).",1.0
89,11251,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed strong gamma-ray flaring activity from a source positionally consistent with the flat-spectrum radio quasar PKS 0346-27, also known as 3FGL J0348.6-2748 (Acero et al.2015, ApJS, 218, 23), with coordinates R.A. = 57.1589354 deg, Decl.= -27.8204344 deg (J2000; Beasley et al.2002 ApJS, 141, 13), and a redshift of 0.991 (White et al.1988 ApJ, 327, 561).",1.0
90,11252,"We report the detection of the X-ray transient source AX J1620.1-5002, with the IBIS/ISGRI and JEM-X detectors aboard the INTEGRAL observatory, during the Galactic Plane Scan program (PI: Dr A. Bazzano).",1.0
91,11252,"AX J1620.1-5002 was only in the JEM-X FOV during revolution 1914 and well detected at RA= 245.07, Dec=-50.02, 90% 2' error radius.",1.0
92,11252,We believe this to be the first confirmed detection of AX J1620.1-5002 at hard X-ray energies.,1.0
93,11252,"We note that in October 2017, MAXI observed a new source, MAXI J1621-501 (ATel #10869).",1.0
94,11252,"Its measured position is offset by ~12' from AX J1620.1-5002 and the MAXI error circle is ~13'; i.e., consistent with the position of both AX J1620.1-5002 and our detection.",1.0
95,11252,"The nature of AX J1620.1-5002 is still not known but is a suggested candidate magnetically accreting white dwarf (Degenaar et al.2012 A&A, 540, 22), but an HMXB nature cannot be completely ruled out (Gemma et al.2014, ApJSS, 212, 13).",1.0
96,11255,We performed our observations with the Blue Channel Spectrograph mounted on the 6.5m MMT Telescope (3400-8400 angstroms).,0.0
97,11256,this source is cross identified with the quasar HB891253-055 and the Gamma-ray source 3FGLJ1256.1-054.,1.0
98,11257,"Following ATel#11223 and ATel#11233, we performed optical spectroscopic and photometric observations of the gamma-ray binary MWC 148 (HESS J0632+057).",1.0
99,11258,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 Feb 4, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
100,11261,"Transient We report on a new NIR flare of the high redshift QSO (z=1.213) [hb89]0234+285 also known as BZQJ0237+2848, cross correlated with the radio source 4C+28.07 and the Gamma-ray source 3FGLJ0237.9+2848.",1.0
101,11262,"Supernovae, Transient, Variables MASTER OT J065015.19+270823.8 discovery - PSN in faint galaxy or CV MASTER-SAAO auto-detection system ( Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L ) discovered OT source at (RA, Dec) = 06h 50m 15.19s +27d 08m 23.8s on 2018-02-04.85900 UT.",1.0
102,11263,"Before the Galactic center became Sun-constrained, there were two X-ray transients active; the neutron star low-mass X-ray binary (LMXB) GRS 1741-2853 had been active since 2017 October 11 (ATel #10859) and starting on 2017 October 19 we detected activity of a very-faint X-ray transient near Sgr A* that was most likely associated with the neutron star LMXB AX J1745.6-2901 (ATel #10900).",1.0
103,11263,"GRS 1741-2853 was still fairly bright on 2017 November 2; a spectrum extracted with the online XRT products tools (Evans et al.2007, A&A 469, 379; 2009, MNRAS 397, 1177) can be fitted with an absorbed power-law model with an index of 3.7+/-1.5 and a hydrogen column density of (3.4 +/- 1.3)E+23 cm-2 (1-sigma errors, assuming wilm abundances and vern cross-sections for the absorption model tbabs).",1.0
104,11263,"The detection on 2017 November 2 implies a minimum outburst duration of 3 weeks, whereas the non-detection on 2018 February 4 limits the maximum length of this outburst of GRS 1741-2853 to 16.5 weeks.",1.0
105,11263,"AX J1745.6-2901 was detected at a count rate of ~4E-2 c/s during the observation of 2017 November 2, which is too faint to extract a spectrum but implies a similar brightness as the two proceeding weeks, i.e.",1.0
106,11263,This detection implies that this outburst of AX J1745.6-2901 had a minimum length of 2 weeks.,1.0
107,11264,"On 2018 February 5 at 19:27:11 UT, Swift BAT detected a new burst from a direction consistent with the magnetar CXOU J164710.2-455216 (trigger=808755; Barthelmy et al.2018, GCN #22389).",1.0
108,11265,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 Feb 5, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
109,11266,Also previously reported by TNTS ( )<br/> d) Good matches with SN1990N a few days past peak.<br/> e) In the outskirts of galaxy SDSS J103059.27+234718.7 at z=0.063.,1.0
110,11266,Also known as ATLAS18ecc and MLS180123:103058+234718 ( ).,1.0
111,11270,The localization of these bursts is known within three arcminutes and compatible with the magnetar CXOU J164710.2-455216/PSR J1647-4552 location.,1.0
112,11270,"INTEGRAL serendipitously observed PSR J1647-4552 from 2018-02-03 14:02:05 to 2018-02-04 12:14:00, and from 2018-02-05 21:09:14 to 2018-02-06 12:13:46, during the observation of the Muscae Region (PI A. Bazzano) for a total on-source time of 141 ks.",1.0
113,11271,"All observations were performed on the ESO New Technology Telescope at La Silla on 2018 Feb 6, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).",0.0
114,11272,"The position of the burst (RA=245.09, Dec=-50.03; 2 arcmin error radius) on the JEM-X image is consistent with MAXI J1621-501 (ATel #10869, #10874), which has already been recorded as an X-ray burster (ATel #11067).",1.0
115,11272,"Considering that INTEGRAL cannot distinguish MAXI J1621-501 from AX J1620.1-5002 only separated by about 2 arcminutes, this suggests that the source which is currently seen active by INTEGRAL (ATel #11252) is MAXI J1621-501.",1.0
116,11273,The X-ray transients IGR J17329-2731 and GRS 1747-312 were seen to be active by JEM-X.,1.0
117,11273,"IGR J17329-2731 was discovered in August 2017 (ATels #10644, #10645, #10682), and is possibly a symbiotic binary (ATel #10685).",1.0
118,11273,"GRS 1747-312 is a frequently recurring neutron-star binary X-ray transient in the globular cluster Terzan 6 (see, e.g., in 't Zand et al.2003, A&A 406, 233); we find it at 31 +/- 4 mCrab (3-10 keV) and 14 +/- 9 mCrab (10-25 keV).",1.0
119,11277,"IGR J17091-3624 is a recurrent transient source, and a strong black hole candidate.",1.0
120,11277,"The source has shown many of the same X-ray timing behaviors and ""states"" as GRS 1915+105 (e.g., Altamirano et al.2011, Court et al.2017), as well as relativistic disk reflection and strong winds (Reis et al.2012, Xu et al.2017; King et al.2012).",1.0
121,11277,"However, even close to outburst peak, IGR J17091-3624 is much fainter than GRS 1915+105; its outbursts are difficult to detect in the Neil Gehrels Swift Observatory BAT.",1.0
122,11277,"The distance to IGR J17091-3624 is quite uncertain; for a distance of 8.5 kpc, this flux implies a luminosity of L = 3.4 E+34 erg/s; for a distance of 25 kpc (Altamirano et al.2011), the flux implies a luminosity of L = 3.0 E+35 erg/s.",1.0
123,11277,"The similarity of its QPO frequencies, power spectra, and flux states to those observed in GRS 1915+105 poses an interesting dilemma: either the two sources have remarkably similar black hole masses and spins, or the observed phenomena and frequencies are set by aspects of the accretion flow but not anchored by gravity.",1.0
124,11280,"Using Fermi/GBM data between MJD 58098 and 58154 (2017 December 11 to 2018 February 5) in the 12-50 keV range, we determine a new orbital ephemeris for the newly discovered (ATEL #10809) Be X-ray binary Swift J0243.6+6124.",1.0
125,11281,"The redshift, estimated from the broad SN features by SNID, is z ~ 0.038, which is consistent with that of the presumed host galaxy <a href="" ""> SDSS J092327.31+171103.5</a> of z = 0.035.",1.0
