,index_new,atel_num,Sentence,label,process
14,14,11196.0,"We observed tonight the z=0.5632 (Marziani et al.1996, ApJS, 104, 37) flat-spectrum radio quasar 3C 279 (with FK5 coordinates RA 12 56 11.167 Dec -05 47 21.52 J2000.0) with the 0.3 m telescope at the Astronomical Observatory of the University of Siena.",1.0,observ tonight z marziani et al apj flat spectrum radio quasar c fk coordin ra dec jtwothousand telescop astronom observatori univers siena
15,15,11197.0,"Taking into account the positional uncertainty of the catalogued source RA=05:36:30.35, Dec=-67:59:35.9 (with an error of ~2 arcsec), #ATel11185 reported the observed OGLE counterpart.",1.0,take account posit uncertainti catalogu sourc ra dec error arcsec atel report observ ogl counterpart
16,16,11202.0,"We report the optical photometric observations of the recent flaring state of 3C 279 (see ATels #11189, #11190, #11196), a flat-spectrum radio quasar with RA and Dec 12:56:11.67 and -05:47:21.52 in J2000.0, respectively.",1.0,report optic photometr observ recent flare state c see atel flat spectrum radio quasar ra dec jtwothousand respect
17,17,11207.0,"DLT18a/AT 2018is is located at RA: 13:16:57.35 Dec: -16:37:04.43, (-21.42, +56.17 arcsec offset from the center of the host galaxy NGC5054).",1.0,dlt locat ra dec arcsec offset center host galaxi ngc 
18,18,11223.0,"Observations by the VERITAS collaboration and with the Swift XRT show the TeV and X-ray emission of the gamma-ray binary HESS J0632+057 (RA 06h32m59.26s, Dec +05d48m01.2s, J2000.0) are comparable to the highest ever observed from this object.",1.0,observ verita collabor swift xrt show tev x ray emiss gamma ray binari hess j ra h dec jtwothousand compar highest ever observ object
19,19,11225.0,"Variable, Gamma-Ray Burst, Quasar, Supernovae, Transient, Variables MASTER OT J002844.97+233329.3 discovery - OT during GRB180113B (IPN) inspection During GRB180113B (IPN triangulation) inspection (<a href="" "">Svinkin et al.GCN #22354</a>, <a href="" "">IPN map</a> ) MASTER-Kislovodsk auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 00h 28m 44.97s +23d 33m 29.3s on 2018-01-14.64970 UT.",1.0,variabl gamma ray burst quasar supernova transient variabl master ot j discoveri ot grb b ipn inspect grb b ipn triangul inspect href svinkin et algcn href ipn map master kislovodsk auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
20,20,11225.0,"The discovery and reference images are available at:   MASTER OT J141021.86+391928.4 discovery - PSN during Fermi/Maxi long GRB180116A inspection During Fermi trigger <a href="" "">inspection</a> (Stanbro et al.GCN #22356, also publishied as MAXI/GSC GRB, see Kawai et al.GCN #22347) MASTER-Kislovodsk auto-detection system discovered optical transient - possible supernova - at (RA, Dec) = 03h 00m 57.16s -66d 25m 23.1s on 2018-01-11.89176 UT.",1.0,discoveri refer imag avail master ot j discoveri psn fermi maxi long grb inspect fermi trigger href inspect stanbro et algcn also publishi maxi gsc grb see kawai et algcn master kislovodsk auto detect system discov optic transient possibl supernova ra dec h ut
21,21,11225.0,"The discovery and reference images are available at:   MASTER OT J022821.64-554603.8 detection - PKS0226-559 flare MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 02h 28m 21.64s -55d 46m 03.8s on 2018-01-22.21072 UT.",1.0,discoveri refer imag avail master ot j detect pk flare master oafa auto detect system discov ot sourc ra dec h ut
22,22,11225.0,"The discovery and reference images are available at:   MASTER OT J105951.22+215309.0 detection - QSO flare (ampl>2.9mag) MASTER-Kislovodsk auto-detection system discovered OT source at (RA, Dec) = 10h 59m 51.22s +21d 53m 09.0s on 2018-01-14.97105 UT.",1.0,discoveri refer imag avail master ot j detect qso flare ampl mag master kislovodsk auto detect system discov ot sourc ra dec h ut
23,23,11226.0,MASTER OT J141021.86+391928.4 discovery The correct time of discovery is 2018-01-16.95759 UT; the correct coordinates are in the name of object 14h 10m 21.86s +39d 19m 28.4s.,1.0,master ot j discoveri correct time discoveri ut correct coordin name object h
24,24,11226.0,"So the correct short information about this discovery is : MASTER-Kislovodsk auto-detection system discovered OT source (PSN) at (RA, Dec) = 14h 10m 21.86s +39d 19m 28.4s on 2018-01-16.95759 UT.",1.0,correct short inform discoveri master kislovodsk auto detect system discov ot sourc psn ra dec h ut
25,25,11236.0,"The X-ray source position of the star are 16:59:41.64, -40:03:43.7.",1.0,x ray sourc posit star 
26,26,11237.0,"The Chandra X-ray Observatory's ACIS-S CCD has detected the Cataclysmic Variable G343.3-0.6 at the coordinates 17:01:28.164, -43:06:12.513.",1.0,chandra x ray observatori aci ccd detect cataclysm variabl g coordin 
27,27,11239.0,"observations of the flat spectrum radio quasar 3C 279 (redshift z=0.536, R.A.: 12h56m11.1665s, Dec: -05d47m21.523s (J2000)) have been carried out during the past 2 weeks, on the basis of the detection of flaring activity in the gamma-ray band with Fermi-LAT (ATel #11189) and AGILE (ATel #11200), as well as in the optical band (ATels #11190, #11196, #11202, #11216).",1.0,observ flat spectrum radio quasar c redshift z ra h dec jtwothousand carri past week basi detect flare activ gamma ray band fermi lat atel agil atel well optic band atel 
28,28,11247.0,"MASTER OT J142117.5-063736.1 discovery - bright PSN in PGC1030654 MASTER-IAC auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 14h 21m 17.5s -06d 37m 36.1s on 2018-01-26.1918UT .",1.0,master ot j discoveri bright psn pgc master iac auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut 
29,29,11259.0,"The updated position of the supernova is listed in the table below: Object RA (J2000) DEC (J2000) ASASSN-18bt 09:06:39.592 +19:20:17.47 We also report additional photometry from ASAS-SN telescopes ""Payne-Gaposchkin"" and ""Leavitt"": Obs.",1.0,updat posit supernova list tabl object ra jtwothousand dec jtwothousand asassn bt also report addit photometri asa sn telescop payn gaposchkin leavitt ob
30,30,11262.0,"Supernovae, Transient, Variables MASTER OT J065015.19+270823.8 discovery - PSN in faint galaxy or CV MASTER-SAAO auto-detection system ( Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L ) discovered OT source at (RA, Dec) = 06h 50m 15.19s +27d 08m 23.8s on 2018-02-04.85900 UT.",1.0,supernova transient variabl master ot j discoveri psn faint galaxi cv master saao auto detect system lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
31,31,11310.0,"In XRT data we localize the transient, utilizing UVOT to reduce the systematics on astrometry, to the following coordinates: RA/Dec(J2000) = 254.55266, -42.69845, which is equivalent to: RA(J2000) = 16h 58m 12.64s, Dec(J2000) = -42d 41m 54.4s, with an estimated uncertainty of 1.6 arc-seconds radius (90% confidence).",1.0,xrt data local transient util uvot reduc systemat astrometri follow coordin ra dec jtwothousand equival ra jtwothousand h dec jtwothousand estim uncertainti arc second radiu confid 
32,32,11322.0,"Our best radio position (measured at 19GHz) is: RA (J2000) = 16:58:12.700 +/- 0.004, Dec (J2000) = -42:41:56.09 +/- 0.25 (statistical errors only).",1.0,best radio posit measur ghz ra jtwothousand dec jtwothousand statist error 
33,33,11323.0,"Using data of 11 scan transits from 15:49 UT on February 19 to 08:48 on February 20 and assuming that the source flux was constant over each scan transit, we obtain the source position at (R.A., Dec) = (273.403 deg, -9.540 deg) = (18 13 36, -09 32 23) (J2000) with a statistical 90% C.L.",1.0,use data scan transit ut februari februari assum sourc flux constant scan transit obtain sourc posit ra dec deg deg jtwothousand statist cl
34,34,11328.0,DLT18h is located at RA: 12:53:48.238 DEC: -39:41:48.16 (54.4 arcsec West and 62.9 arcsec North from the host galaxy NGC 4767).,1.0,dlt h locat ra dec arcsec west arcsec north host galaxi ngc 
35,35,11332.0,"The GROND positions are: Source A = PSO J181334.004-093159.456 RA(J2000) = 18:13:34.015 Dec(J2000) = -09:31:59.20 Source B = PSO J181333.964-093158.045 RA(J2000) = 18:13:33.970 Dec(J2000) = 09:31:57.94 with uncertainties of 0.05"" and 0.07"" in RA and Dec, respectively.",1.0,grond posit sourc pso j ra jtwothousand dec jtwothousand sourc b pso j ra jtwothousand dec jtwothousand uncertainti ra dec respect
36,36,11339.0,"We report that the photometric follow-up of the current active phase (see ATel #11100,#11107) of the blazar S5 0716+714 (RA: 7:21:53.45, Dec: 71:20:36.36, J2000.0) that we are pursuing at the Astronomical Observatory of the University of Siena may indicate a new rising phase for the optical brightness of the source, with the R-band Vega magnitude dropping below R=12.5 on Feb 19.98, while at the beginning of January the source had faded to R~13.2.",1.0,report photometr follow current activ phase see atel blazar ra dec jtwothousand pursu astronom observatori univers siena may indic new rise phase optic bright sourc r band vega magnitud drop r feb begin januari sourc fade r 
37,37,11354.0,"Regular photometric monitoring of the flat-spectrum radio quasar 3C 279 (FK5 coordinates: RA 12 56 11.167, DEC -05 47 21.52 (J2000); Redshift 0.5632 (Marziani et al.1996, ApJS, 104, 37)) is done as part of the long-term AGN monitoring program of the Naturwissenschaftliches Labor fuer Schueler am Friedrich-Koenig-Gymnasium (FKG) and the Universitaet Wuerzburg with the 0.5m telescope at the Hans-Haffner-Sternwarte in Hettstadt (Germany).",1.0,regular photometr monitor flat spectrum radio quasar c fk coordin ra dec jtwothousand redshift marziani et al apj done part long term agn monitor program naturwissenschaftlich labor fuer schueler friedrich koenig gymnasium fkg universitaet wuerzburg telescop han haffner sternwart hettstadt germani 
38,38,11356.0,We significantly detect MAXI J1813-095 at the position (measured at 9 GHz):</br> RA (J2000): 18:13:34.073 +/- 0.014</br> Dec (J2000): -9:32:07.3 +/- 3.7</br> where the 1-sigma errors are the larger of the statistical error from the fitted position (Declination error) or the theoretical statistical error of centroiding (Beam/2*SNR; Right Ascension error).,1.0,significantli detect maxi j posit measur ghz br ra jtwothousand br dec jtwothousand br sigma error larger statist error fit posit declin error theoret statist error centroid beam snr right ascens error 
39,39,11365.0,"ASASSN-18ds is located at coordinates RA, DEC (J2000) = 17:03:47.509, -38:16:57.14, corresponding to l, b = 347.384, 1.925, within the area covered by the VVV Survey in the Galactic disk (vvvsurvey.org; Minniti et al.2010, New Astronomy, 15, 433).",1.0,asassn ds locat coordin ra dec jtwothousand correspond l b within area cover vvv survey galact disk vvvsurveyorg minniti et al new astronomi 
40,40,11371.0,"DLT18i is located at RA: 05:22:32.36 DEC: -11:29:13.8, northwest of the host galaxy NGC 1888 (D=24 Mpc).",1.0,dlt locat ra dec northwest host galaxi ngc mpc 
41,41,11376.0,"The burst was detected in beam 03 of the receiver only, which was centered on J2000 coordinates RA 06:12:43.4, DEC +04:33:44.8, at a signal-to-noise ratio of ~16, peak flux density of ~0.5 Jy, dispersion measure (DM) of ~520 pc cm^-2, and burst width of ~3 ms, while observing over ~340 MHz of bandwidth centered around 1382 MHz.",1.0,burst detect beam receiv center jtwothousand coordin ra dec signal nois ratio peak flux densiti jy dispers measur dm pc cm burst width ms observ mhz bandwidth center around mhz
42,42,11378.0,"The Large Area Telescope (LAT), one of the two instruments on the Fermi Gamma-ray Space Telescope, has observed an increasing gamma-ray flux from a source positionally consistent with the flat spectrum radio quasar (FSRQ) PKS 1004-217 (3FGL J1006.7-2159) with coordinates RA: 10h06m46.4136s, DEC: -21d59m20.410s, J2000 (Beasley et al.2002, ApJS, 141, 13) and redshift z=0.331 (Hewitt & Burbidge 1989, ApJS, 69, 1).",1.0,larg area telescop lat one two instrument fermi gamma ray space telescop observ increas gamma ray flux sourc posit consist flat spectrum radio quasar fsrq pk fgl j coordin ra h dec jtwothousand beasley et al apj redshift z hewitt burbidg apj 
43,43,11380.0,"Transient, Variables MASTER OT J195210.21-614104.9 detection - bright (15.9) dwarf nova outburst with ampl>5.6 MASTER-SAAO auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 19h 52m 10.21s -61d 41m 04.9s on 2018-03-05.05144 UT.",1.0,transient variabl master ot j detect bright dwarf nova outburst ampl master saao auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
44,44,11384.0,"The nova is located at (RA, DEC) = (05:13:32.71, -68:38:00.4) J2000.0.",1.0,nova locat ra dec jtwothousand 
45,45,11385.0,"The burst was detected in the centre beam of the receiver, which at the time was pointed at a position of (RA, DEC 21:24:43.8, -33:58:44.5).",1.0,burst detect centr beam receiv time point posit ra dec 
46,46,11396.0,"The burst was detected in the beam 4 of the receiver, which at the time was pointed at a position of (RA, DEC 21:31:33.42, -57:44:26.7).",1.0,burst detect beam receiv time point posit ra dec 
47,47,11399.0,"Using GSC camera GSC_2 and GSC_7 data of 5 scan transits from 2018-03-11 19:48 to 2018-03-12 02:04, we obtain the source position at (R.A., Dec) = (275.112 deg, 7.037 deg) = (18 20 26, +07 02 13) (J2000) with a statistical 90% C.L.",1.0,use gsc camera gsc gsc data scan transit obtain sourc posit ra dec deg deg jtwothousand statist cl
48,48,11401.0,"The new large amplitude variable star in Centaurus at R.A. = 12 48 50.8, Decl.= -41 26 54 (J2000.0) was discovered by Ivan Larin on the images obtained remotely from iTelescope.Net T31 instrument (0.50-m f/6.8 reflector + CCD + f/4.5 focal reducer) in Siding Spring, Australia.",1.0,new larg amplitud variabl star centauru ra decl jtwothousand discov ivan larin imag obtain remot itelescopenet instrument f reflector ccd f focal reduc side spring australia
49,49,11403.0,There is a 16.8 mag source at RA(J2000) = 18:20:21.25 = 275.08856 DEC(J2000) = 07:10:54.7 = 7.18186 with a 90%-confidence error radius of about 0.61 arc seconds.,1.0,mag sourc ra jtwothousand dec jtwothousand confid error radiu arc second
50,50,11404.0,"In the UVOT prompt white image we detect a bright source, which has considerable brightening over archival images of the field, at the following coordinates, RA/Dec(J2000) = 75.09138, 7.1853, which is equivalent to: RA(J2000) = 18h 20m 21.93s, Dec(J2000) = +07d 11m 07.1s This source lies 0.36 arc-seconds from the source ASASSN-18el (ATEL #11400), and is therefore the same source.",1.0,uvot prompt white imag detect bright sourc consider brighten archiv imag field follow coordin ra dec jtwothousand equival ra jtwothousand h dec jtwothousand sourc lie arc second sourc asassn el atel therefor sourc
51,51,11406.0,"The coordinates are RA/Dec(J2000) = 275.09118, 7.18563, RA(J2000) =18h 20m 21.88s, Dec(J2000) = +07d 11m 08.3s), with an error radius of 1.5 arc-seconds (90% confidence), 1.4 arc-seconds from the position of ASSASN-18ey (ATEL #11400).",1.0,coordin ra dec jtwothousand ra jtwothousand h dec jtwothousand error radiu arc second confid arc second posit assasn ey atel 
52,52,11407.0,"Quasar, Transient, Variables MASTER OT J034838.11-274913.4 detection - PKS 0346-27 flare MASTER-OAFA auto-detection system ( Lipunov et al., ""MASTER Global Robotic Net"",Advances in Astronomy, 2010, 30L ) detected OT source at (RA, Dec) = 03h 48m 38.11s -27d 49m 13.4s on 2018-03-11.05672 UT.",1.0,quasar transient variabl master ot j detect pk flare master oafa auto detect system lipunov et al master global robot net advanc astronomi l detect ot sourc ra dec h ut
53,53,11407.0,"There is PKS 0346-27   The discovery and reference images are available at:   MASTER OT J043510.14-464138.9 detection - dwarf nova outburst, ampl>3.6m MASTER-OAFA auto-detection system discovered OT source at (RA, Dec) = 04h 35m 10.14s -46d 41m 38.9s on 2018-03-11.12385 UT.",1.0,pk discoveri refer imag avail master ot j detect dwarf nova outburst ampl master oafa auto detect system discov ot sourc ra dec h ut
54,54,11419.0,"Its coordinates are R.A.: 05h09m25.9644s, Dec: 05d41m35.333s (J2000; Beasley et al.2002, ApJS, 141, 13) and it has a redshift z = 0.3365 (Paiano et al.2018, ApJ, 854, 32).",1.0,coordin ra h dec jtwothousand beasley et al apj redshift z paiano et al apj 
55,55,11420.0,"The measured source position is RA: 18:20:22, Dec: 07:11:10.7 and our clean beam has a major and minor FWHM of 60"" and 30"" respectively.",1.0,measur sourc posit ra dec clean beam major minor fwhm respect
56,56,11424.0,"The optical position of ASASSN-18ey/MAXI J1820+070 is consistent with a star in archival data, and this star has a Gaia DR1 J2000 position of 18:20:21.9393, +07:11:07.190, with a nominal astrometric uncertainty of a few milliarcseconds per coordinate.",1.0,optic posit asassn ey maxi j consist star archiv data star gaia dr jtwothousand posit nomin astrometr uncertainti milliarcsecond per coordin
57,57,11426.0,"An optical counterpart was detected with no filter, sensitive in 350- to 700-nm (highest at ~500nm), as a point source at 18:20:21.935, +07:11:07.89 (J2000) with AB magnitude of about 12.6.",1.0,optic counterpart detect filter sensit nm highest nm point sourc jtwothousand ab magnitud 
58,58,11428.0,"Variables MASTER OT J082409.39+571713.3 discovery- PSN in PGC023593 (59.6""W, 4.8""S) MASTER-Kislovodsk auto-detection system discovered OT source at (RA, Dec) = 08h 24m 09.39s +57d 17m 13.3s on 2018-03-15.87081 UT.",1.0,variabl master ot j discoveri psn pgc w master kislovodsk auto detect system discov ot sourc ra dec h ut
59,59,11431.0,"The INTEGRAL observatory was taking data on a field centered at RA=260.177, Dec=-40.105, 43.0 degrees from the approximate FRB arrival direction (RA=21:31:33.42 Dec=-57:44:26.7).",1.0,integr observatori take data field center ra dec degre approxim frb arriv direct ra dec 
60,60,11434.0,"The radio source is also detected with astrometric VLBI: 05:18:11.727160, -51:44:03.97925 +/-2.6 mas J2000 (30 mJy at 8.4 GHz; Petrov and Kovalev, in preparation   ).",1.0,radio sourc also detect astrometr vlbi ma jtwothousand mji ghz petrov kovalev prepar 
61,61,11437.0,"The comparison star is URAT1 486-270264 (Zacharias et al.2015 ApJ 150 4) at RA=18h20m26.43s, Dec=+07d10m11.8s.",1.0,comparison star urat zacharia et al apj ra h dec
62,62,11447.0,"Assuming that the source flux was constant over each transit at 14:23 and 17:28 on the same day, we obtain the source position at (R.A., Dec) = (264.733 deg, -37.948 deg) = (17 38 55, -37 56 52) (J2000) with a statistical 90% C.L.",1.0,assum sourc flux constant transit day obtain sourc posit ra dec deg deg jtwothousand statist cl
63,63,11448.0,The optical transients is at least first magnitude and is located at the following coordinates: RA (2000): 18h 04m 50s Declination (2000.0): -23d 29m 58s The coordinates are accurate to a few arcseconds.,1.0,optic transient least first magnitud locat follow coordin ra h declin coordin accur arcsecond
64,64,11456.0,"After doing so, we find that the transient matches to within 0.1"" a star in the Gaia DR1 catalog, which has a J2000 position of 10:36:15.4138 -59:35:53.648.",1.0,find transient match within star gaia dr catalog jtwothousand posit 
65,65,11464.0,"We observed last night the z=0.5362 (Marziani et al.1996, ApJS, 104, 37) flat-spectrum radio quasar 3C 279 (at FK5 coordinates RA 12 56 11.167 Dec -05 47 21.52 J2000.0) with the 0.3 m telescope at the Astronomical Observatory of the University of Siena.",1.0,observ last night z marziani et al apj flat spectrum radio quasar c fk coordin ra dec jtwothousand telescop astronom observatori univers siena
66,66,11495.0,"Variables MASTER OT J113123.65-373607.7 discovery - PSN in PGC620583 MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"",Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 11h 31m 23.65s -37d 36m 07.7s on 2018-04-02.00750 UT.",1.0,variabl master ot j discoveri psn pgc master oafa auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
67,67,11503.0,"Transient, Variables MASTER OT J181909.82+253407.7 discovery - dwarf nova outburst, ampl>6m MASTER-Kislovodsk auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 18h 19m 09.82s +25d 34m 07.7s on 2018-04-04.88163 UT during inspection.",1.0,transient variabl master ot j discoveri dwarf nova outburst ampl master kislovodsk auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut inspect
68,68,11518.0,We measure the following mean position: RA= 13:45:03.495+/-0.003 Dec= -41:52:23.34+/-0.23 The reported uncertainties are the statistical errors of the mean.,1.0,measur follow mean posit ra dec report uncertainti statist error mean
69,69,11534.0,"Transient, Variables MASTER OT J185835.32-354042.2 discovery - new OT, preliminary dwarf nova outburst, ampl>5.3m MASTER-SAAO auto-detection system ( Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L ) discovered OT source at (RA, Dec) = 18h 58m 35.32s -35d 40m 42.2s on 2018-04-12.08618 UT.",1.0,transient variabl master ot j discoveri new ot preliminari dwarf nova outburst ampl master saao auto detect system lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
70,70,11535.0,"Transient, Variables MASTER OT J182525.98+081046.9 discovery - dwarf nova outburst, ampl>4.7m MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 18h 25m 25.98s +08d 10m 46.9s on 2018-04-13.24564 UT.",1.0,transient variabl master ot j discoveri dwarf nova outburst ampl master oafa auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
71,71,11537.0,"Transient, Variables MASTER OT J090900.56+044904.1 discovery - new OT, preliminary dwarf nova outburst, ampl>5.5m MASTER-OAFA auto-detection system ( <A HREF="" "">Lipunov et al., ""MASTER Global Robotic Net"", Advances in Astronomy, 2010, 30L</A> ) discovered OT source at (RA, Dec) = 09h 09m 00.56s +04d 49m 04.1s on 2018-04-16.11132 UT.",1.0,transient variabl master ot j discoveri new ot preliminari dwarf nova outburst ampl master oafa auto detect system href lipunov et al master global robot net advanc astronomi l discov ot sourc ra dec h ut
72,72,11540.0,"The fitted position is RA: 18:20:21.9, Dec = +07:11:07.2.",1.0,fit posit ra dec 
73,73,11542.0,"The Large Area Telescope (LAT), one of two instruments on the Fermi Gamma-ray Space Telescope, has observed an intense and hard gamma-ray flare from a source positionally consistent with the flat spectrum radio quasar 3C 279, also known as 3FGL J1256.1-0547 (Acero et al.2015, ApJS, 218, 23), with radio coordinates R.A.: 12h56m11.1665s, Dec: -05d47m21.523s (J2000.0; Johnston et al.1995, AJ, 110, 880).",1.0,larg area telescop lat one two instrument fermi gamma ray space telescop observ intens hard gamma ray flare sourc posit consist flat spectrum radio quasar c also known fgl j acero et al apj radio coordin ra h dec jtwothousand johnston et al aj 
74,74,11548.0,"The MAGIC collaboration reports the first detection of very-high-energy (VHE; E>100 GeV) gamma-ray emission from PGC 2402248, also known as 2WHSP J073326.7+515354 (Chang et al.2016, A&A, 598, A17) with coordinates R.A.: 07:33:26.7 h, Dec: +51:53:54.99 deg.",1.0,magic collabor report first detect high energi vhe e gev gamma ray emiss pgc also known whsp j chang et al coordin ra h dec deg
